1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,-2.98234419946949,-0.016332376772184,0
2.65551045785139e-08,1.77670317584906e-07,2.55598229272673e-07,1.27663147348443e-05,8.54146586627975e-05,0.000122883873308498,-2.98232727646463,-0.0163336058136359,-8.94209738691901e-06
4.7551020174706e-08,7.1552092442997e-07,9.21476391622998e-07,-2.26487079509547e-06,0.000183228615137171,0.000209733127077424,-2.98230783933459,-0.0163275507692256,1.72780364872663e-05
-3.42092010335418e-08,1.32126007816617e-06,1.8548888172049e-06,-4.31179354415657e-05,0.000133591589539816,0.000286827423573813,-2.9823145591807,-0.0163145701573266,2.21206564082194e-05
-2.37678981871354e-07,1.62469559981571e-06,2.96788378031323e-06,-7.89192772819892e-05,2.44042760987561e-05,0.000362554846025023,-2.98232664717443,-0.0163057995280756,-1.04927905090172e-05
-5.4974843444371e-07,1.71185287680888e-06,4.30684975940732e-06,-0.000136294171393759,3.38888499328847e-05,0.000540487868841128,-2.98231257700026,-0.0162959346904659,-2.32399996367315e-05
-9.4359677857733e-07,1.82580817469491e-06,5.91958606265156e-06,-0.000157919460634351,6.01380613985109e-05,0.00068673142026948,-2.9822842093663,-0.0162888772097163,-8.15245878496244e-06
-1.33225580651464e-06,1.95479307081981e-06,7.61222186598847e-06,-0.000173071717065619,2.06981672012464e-05,0.000742945285310877,-2.98228769851822,-0.0162814509816164,-9.7348536739379e-06
-1.68987699126652e-06,1.99498249172905e-06,9.18373665377982e-06,-0.000108997091382178,-1.14612589008848e-05,0.0007356497672517,-2.9823114594988,-0.0162836353801705,-3.25624697618607e-05
-1.90245597772408e-06,1.97497287107038e-06,1.05391433039448e-05,-3.14608566300687e-05,-1.69232375118627e-05,0.000728693019191237,-2.98232037954817,-0.0162776955146974,-5.15143234246113e-05
-1.95831082720804e-06,1.90694424072098e-06,1.16848133115547e-05,-1.72045534425738e-05,8.32180187563151e-05,0.000787243706545192,-2.98232148479179,-0.0162829502850102,-2.68531253535175e-05
-1.95874968865472e-06,2.05786535509396e-06,1.27766256391845e-05,-5.542274749026e-05,2.53127337132785e-05,0.00080891541996141,-2.98228093897126,-0.0162562278401554,-8.92202322763183e-06
-2.02024286736127e-06,2.16846675553267e-06,1.38082647587255e-05,-6.30734716368009e-05,-7.66507556721307e-05,0.000766232590828594,-2.98223940078615,-0.0162099873475312,-1.9209737827087e-05
-2.03686712185165e-06,2.08781099912547e-06,1.46443534396142e-05,-0.000118581336054431,-7.86543190801429e-05,0.00076930014770441,-2.98222142337387,-0.0161915545585607,-4.76746401712499e-05
-2.15899699462979e-06,2.03940456196901e-06,1.53983291862843e-05,-0.0001105490561818,-0.000104657436201494,0.000768211334171596,-2.98221219493643,-0.0162011656715222,-0.000105938035334286
-2.3173786349256e-06,1.91792337963537e-06,1.60958461335554e-05,-5.51532133076097e-05,-7.72414620239235e-05,0.000750835143109615,-2.98220875986804,-0.0161879416350698,-0.000163548939863039
-2.41409795943027e-06,1.75941337823275e-06,1.67051267469188e-05,-1.11672463139541e-05,3.30987871927639e-06,0.000745934133888277,-2.98221157472734,-0.0161490559830506,-0.000191670708277587
-2.4361718058066e-06,1.66100545530835e-06,1.72593633939998e-05,-2.03271796454511e-07,8.19170440731787e-05,0.000743351865362452,-2.9822093906524,-0.0161296873878332,-0.000191632871663212
-2.51270871250379e-06,1.78988421303192e-06,1.78297291865179e-05,5.69891649163104e-05,2.61666268363744e-05,0.000696954861272958,-2.98222422404008,-0.016101231839765,-0.000207158099744237
-2.574922530142e-06,1.74857434055027e-06,1.83073830160097e-05,0.000127675957565896,6.78575937660635e-05,0.00067439869183834,-2.98222190115668,-0.016077762908525,-0.000209484045801562
-2.51100104983585e-06,1.82854111013544e-06,1.86188724506903e-05,0.000135173045712724,3.93651242128038e-05,0.000743800104552932,-2.98221378941707,-0.0160828039695166,-0.000224744259139013
-2.40894088834843e-06,1.88146179083571e-06,1.89315091803839e-05,0.000116391256413345,1.78506149190177e-05,0.000825049410193685,-2.98218498537627,-0.0160814338862658,-0.000244928927053012
-2.3602134892741e-06,1.86085131508646e-06,1.93542541902088e-05,0.000125191635159156,3.83024093273277e-05,0.000847442348082443,-2.98215038513663,-0.0160618225693595,-0.000242521457145775
-2.2695801165301e-06,2.06422496898669e-06,1.98498703704816e-05,0.000107206284130944,-8.50731027211697e-05,0.000816868274599632,-2.98212342221473,-0.0160266117200117,-0.000277346038379993
